id,text,created_at,lang
1968375977861595421,"@astraiaintel You do know that Napoleon was destroyed after starting a war with Russia right?
Just like Ukraine and NATO are being destroyed after starting this war. 
Accept peace while you still have a country left.",2025-09-17 18:06:18+00:00,en
1968375831430119675,"The president @realDonaldTrump recently said that he believed he could earn a place in Heaven for bringing peace between Ukraine and Russia. Is that how we get to Heaven? #BibleStudy 
https://t.co/WuYT0WUba4",2025-09-17 18:05:43+00:00,en
1968375492496736345,"@AnnaFromUA_YT Well that's, another, economic terrorism act by #Ukraine after blowing up #Nordsteam. So Russia should react appropriate. Like ensure winning its humanitarian peace mission in #Ukraine and let many Nazi's go back to Kyiv in a body bag!",2025-09-17 18:04:22+00:00,en
1968374915658301646,"@Mylovanov Russia does not want to erase Ukraine as a state and nation - but it will if the West needs to smarten up.

If the West was wise and innovative, it would humble Ukraine’s ultra-nationalists and host a continental conference to establish a European peace, security, and prosperity",2025-09-17 18:02:05+00:00,en
1968374689870528730,"@Matthew90226312 @GeertJeelof @astraiaintel if the Ukrainian propaganda is huge then russia's propaganda is how ?

russia (Lavrov) said a few days that they won't attack, they do not want war and the West is lying that russia will invade

leave Ukraine so that the 'Ukrainian propaganda' won't exist anymore",2025-09-17 18:01:11+00:00,en
1968374532684792318,@justyoung01 @redeemed_zoomer Using all that freedom and liberty to attack the very core of our freedom and liberty. I hear the Russia/Ukraine border is nice this time of year. https://t.co/bHtmzM74BN,2025-09-17 18:00:33+00:00,en
1968374398756311470,"Trump calls PM Modi to wish on his 75th birthday, praises his peace efforts on Ukraine and signals improvement in US-India relations

https://t.co/dVPouK9YGJ",2025-09-17 18:00:01+00:00,en
1968374257857319299,"@Alex_Oloyede2 1/2
Ukraine is not Russia, understanding this, we know that it is the Russian fascists who are occupying forces, and no, there is nothing legitimate about what the Russian dictatorship is doing in Ukraine.
Ukraine lived in peace until Russia started this conflict in 2014. https://t.co/Ccj5qgyuWd",2025-09-17 17:59:28+00:00,en
1968374200797905196,"The U.S. and friends aren't demanding a ceasefire now, after refusing to even to talk to Russia for over 3 years, because they are suddenly interested in peace

They're doing it, because their proxy army in Ukraine is coming closer to collapse, and it's getting harder to hide it",2025-09-17 17:59:14+00:00,en
1968374101279752435,"@RT_com Imagine not having a phone. You wouldn’t know who Charlie Kirk was or that he died. Or Epstein, trump, Biden, Ukraine etc. Want peace? Put your phone away",2025-09-17 17:58:51+00:00,en
1968374059982536882,"@LibDems @EdwardJDavey Ed Davey does very little other than criticise.  What are his solutions for Gaza and Ukraine.  All he does is condemn President Trump who is trying to achieve peace rather than war
🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿",2025-09-17 17:58:41+00:00,en
1968374033843638732,"PM Modi thanks 'friend' Trump for birthday greetings, backs US peace efforts in Ukraine
https://t.co/2vY3TvuMRc

via NaMo App https://t.co/alWxzMl8gL",2025-09-17 17:58:34+00:00,en
1968373968060215359,"PM Modi thanks 'friend' Trump for birthday greetings, backs US peace efforts in Ukraine
https://t.co/2vY3TvuMRc

via NaMo App https://t.co/icwj1Ie7IM",2025-09-17 17:58:19+00:00,en
1968373895326757280,@anders_aslund Ukraine aims to cripple the Russian oil and gas industries. Conceivably this could induce political forces in Russia to topple Putin and negotiate peace. But in the long term Russians have an imperial idea of themselves. So it is essential to invest in Ukrainian   democracy.,2025-09-17 17:58:01+00:00,en
1968373838368145499,@oroborous @Svyrydenko_Y @DFCgov It's 50/50 Ukraine had to negotiate hard as the US originally wanted a 70/30 split in there favour. Thankfully negotiations ended well,2025-09-17 17:57:48+00:00,en
1968373736949915766,"@wartranslated The problem is that in Trump's case, ""end the Russia-Ukraine war,"" means rewarding Putin with Ukrainian territory and demanding a Nobel Peace prize for doing so.",2025-09-17 17:57:24+00:00,en
1968373708093034837,"@narendramodi If you support PEACE between Russian &amp; Ukraine, then IMMEDIATELY STOP your purchasing of oil &amp; LNG from Russia. 

Narendra Modi, you have much blame today for WHY the war is still ongoing.  Halting imports would hurt Russia (potentially shortening the war by months via economic",2025-09-17 17:57:17+00:00,en
1968373582427562335,"PM Modi thanks Putin for birthday wishes &amp; reaffirms India’s commitment to Ukraine peace through dialogue &amp; diplomacy. 🌏🤝
Read: https://t.co/JHaxNpGGD6

#PMModi #Putin #IndiaRussia #UkrainePeace #GlobalDiplomacy #ConflictResolution #WorldPeace #IndiaSupportsPeace #Trending",2025-09-17 17:56:47+00:00,en
1968373437812064721,"According to MFA spokesman Tykhyi, there is a list of countries ready to host peace talks between Ukraine and Russia.

🇦🇹 Austria
🇸🇦 Saudi Arabia 
🇦🇪 UAE
🇻🇦 Vatican
🇶🇦 Qatar
🇨🇭 Switzerland
🇹🇷 Turkiye https://t.co/iE1MBfXsUJ",2025-09-17 17:56:12+00:00,en
1968372922567004376,"@OCMediaorg They draw lessons from Ukraine. They must strengthen defense to achieve peace, otherwise Russia and Iran will drag them back into conflict like the past 30 years.",2025-09-17 17:54:09+00:00,en
1968372907568153050,Pray for Israel and Ukraine and India and for Peace on Earth like a Virgin 🌍🌎🌏🙏🇮🇱🇺🇦🇮🇳🥰 https://t.co/M1z1SHwrJR,2025-09-17 17:54:06+00:00,en
